cohort_month,month_offset,cohort_size,active_users,retention_rate
2020-03-01,65,51,1,0.0196
2020-03-01,69,51,1,0.0196
2020-03-01,74,51,1,0.0196
2020-03-01,75,51,1,0.0196
2020-04-01,0,59,59,1.0
2020-04-01,1,59,3,0.0508
2020-04-01,20,59,1,0.0169
2020-04-01,25,59,1,0.0169
2020-04-01,27,59,1,0.0169
2020-04-01,32,59,1,0.0169
2020-04-01,42,59,1,0.0169
2020-04-01,52,59,1,0.0169
2020-04-01,53,59,1,0.0169
2020-04-01,56,59,1,0.0169
2020-04-01,60,59,1,0.0169
2020-04-01,71,59,1,0.0169
2020-04-01,73,59,1,0.0169
2020-05-01,0,55,55,1.0
2020-05-01,1,55,2,0.0364
2020-05-01,2,55,1,0.0182
2020-05-01,18,55,1,0.0182
2020-05-01,21,55,2,0.0364
2020-05-01,22,55,1,0.0182
2020-05-01,33,55,1,0.0182
2020-05-01,40,55,1,0.0182
2020-05-01,44,55,1,0.0182
2020-05-01,45,55,1,0.0182
2020-05-01,58,55,1,0.0182
2020-05-01,65,55,1,0.0182
2020-05-01,66,55,1,0.0182
2020-05-01,68,55,1,0.0182
2020-06-01,0,73,73,1.0
2020-06-01,1,73,2,0.0274
2020-06-01,3,73,1,0.0137
2020-06-01,7,73,1,0.0137
2020-06-01,8,73,1,0.0137
2020-06-01,9,73,1,0.0137
2020-06-01,17,73,1,0.0137
2020-06-01,20,73,1,0.0137
2020-06-01,27,73,1,0.0137
2020-06-01,29,73,1,0.0137
2020-06-01,31,73,1,0.0137
2020-06-01,33,73,1,0.0137
2020-06-01,43,73,1,0.0137
2020-06-01,47,73,1,0.0137
2020-06-01,48,73,1,0.0137
2020-06-01,53,73,1,0.0137
2020-06-01,59,73,1,0.0137
2020-06-01,67,73,1,0.0137
2020-06-01,70,73,1,0.0137
2020-07-01,0,71,71,1.0
2020-07-01,1,71,1,0.0141
2020-07-01,7,71,1,0.0141
2020-07-01,9,71,1,0.0141
2020-07-01,11,71,2,0.0282
2020-07-01,15,71,1,0.0141
2020-07-01,17,71,1,0.0141
2020-07-01,20,71,2,0.0282
2020-07-01,27,71,1,0.0141
2020-07-01,29,71,1,0.0141
2020-07-01,47,71,1,0.0141
2020-07-01,58,71,1,0.0141
2020-07-01,59,71,1,0.0141
2020-07-01,61,71,1,0.0141
2020-07-01,63,71,1,0.0141
2020-07-01,64,71,1,0.0141
2020-07-01,65,71,1,0.0141
2020-07-01,66,71,1,0.0141
2020-07-01,70,71,1,0.0141
2020-07-01,72,71,1,0.0141
2020-08-01,0,77,77,1.0
2020-08-01,1,77,1,0.013
2020-08-01,2,77,1,0.013
2020-08-01,4,77,2,0.026
2020-08-01,18,77,1,0.013
2020-08-01,19,77,2,0.026
2020-08-01,20,77,1,0.013
2020-08-01,34,77,1,0.013
2020-08-01,35,77,1,0.013
2020-08-01,40,77,1,0.013
2020-08-01,50,77,1,0.013
2020-08-01,51,77,1,0.013
2020-08-01,57,77,1,0.013
2020-08-01,61,77,1,0.013
2020-08-01,62,77,1,0.013
2020-08-01,67,77,1,0.013
2020-08-01,69,77,1,0.013
2020-09-01,0,79,79,1.0
2020-09-01,1,79,1,0.0127
2020-09-01,4,79,2,0.0253
2020-09-01,5,79,1,0.0127
2020-09-01,6,79,1,0.0127
2020-09-01,8,79,1,0.0127
2020-09-01,20,79,1,0.0127
2020-09-01,22,79,2,0.0253
2020-09-01,24,79,1,0.0127
2020-09-01,33,79,1,0.0127
2020-09-01,38,79,1,0.0127
2020-09-01,41,79,1,0.0127
2020-09-01,42,79,1,0.0127
2020-09-01,48,79,2,0.0253
2020-09-01,71,79,1,0.0127
2020-10-01,0,88,88,1.0
2020-10-01,1,88,3,0.0341
2020-10-01,2,88,1,0.0114
2020-10-01,4,88,1,0.0114
2020-10-01,16,88,1,0.0114
2020-10-01,20,88,1,0.0114
2020-10-01,21,88,1,0.0114
2020-10-01,22,88,1,0.0114
2020-10-01,23,88,1,0.0114
2020-10-01,26,88,1,0.0114
2020-10-01,30,88,1,0.0114
2020-10-01,31,88,1,0.0114
2020-10-01,34,88,1,0.0114
2020-10-01,37,88,1,0.0114
2020-10-01,38,88,1,0.0114
2020-10-01,49,88,1,0.0114
2020-10-01,51,88,1,0.0114
2020-10-01,52,88,1,0.0114
2020-10-01,55,88,1,0.0114
2020-10-01,56,88,1,0.0114
2020-10-01,66,88,2,0.0227
2020-10-01,68,88,1,0.0114
2020-11-01,0,84,84,1.0
2020-11-01,1,84,3,0.0357
2020-11-01,2,84,1,0.0119
2020-11-01,13,84,1,0.0119
2020-11-01,18,84,2,0.0238
2020-11-01,37,84,1,0.0119
2020-11-01,39,84,1,0.0119
2020-11-01,40,84,1,0.0119
2020-11-01,53,84,1,0.0119
2020-11-01,56,84,2,0.0238
2020-11-01,58,84,1,0.0119
2020-11-01,60,84,1,0.0119
2020-11-01,67,84,1,0.0119
2020-12-01,0,96,96,1.0
2020-12-01,1,96,4,0.0417
2020-12-01,5,96,1,0.0104
2020-12-01,7,96,1,0.0104
2020-12-01,12,96,2,0.0208
2020-12-01,13,96,2,0.0208
2020-12-01,17,96,1,0.0104
2020-12-01,19,96,2,0.0208
2020-12-01,22,96,1,0.0104
2020-12-01,23,96,1,0.0104
2020-12-01,26,96,2,0.0208
2020-12-01,27,96,1,0.0104
2020-12-01,31,96,1,0.0104
2020-12-01,34,96,1,0.0104
2020-12-01,39,96,1,0.0104
2020-12-01,42,96,1,0.0104
2020-12-01,44,96,1,0.0104
2020-12-01,48,96,1,0.0104
2020-12-01,49,96,1,0.0104
2020-12-01,50,96,1,0.0104
2020-12-01,52,96,1,0.0104
2020-12-01,53,96,1,0.0104
2020-12-01,54,96,1,0.0104
2020-12-01,60,96,1,0.0104
2020-12-01,61,96,1,0.0104
2020-12-01,65,96,1,0.0104
2020-12-01,68,96,1,0.0104
2021-01-01,0,98,98,1.0
2021-01-01,1,98,3,0.0306
2021-01-01,5,98,1,0.0102
2021-01-01,6,98,2,0.0204
2021-01-01,9,98,1,0.0102
2021-01-01,28,98,1,0.0102
2021-01-01,33,98,1,0.0102
2021-01-01,38,98,1,0.0102
2021-01-01,39,98,1,0.0102
2021-01-01,44,98,1,0.0102
2021-01-01,46,98,1,0.0102
2021-01-01,55,98,2,0.0204
2021-01-01,58,98,1,0.0102
2021-01-01,65,98,1,0.0102
2021-01-01,67,98,1,0.0102
2021-02-01,0,85,85,1.0
2021-02-01,3,85,1,0.0118
2021-02-01,5,85,1,0.0118
2021-02-01,6,85,1,0.0118
2021-02-01,10,85,1,0.0118
2021-02-01,13,85,2,0.0235
2021-02-01,21,85,1,0.0118
2021-02-01,27,85,1,0.0118
2021-02-01,28,85,1,0.0118
2021-02-01,33,85,1,0.0118
2021-02-01,35,85,1,0.0118
2021-02-01,38,85,1,0.0118
2021-02-01,39,85,1,0.0118
2021-02-01,43,85,1,0.0118
2021-02-01,46,85,1,0.0118
2021-02-01,47,85,1,0.0118
2021-02-01,51,85,1,0.0118
2021-02-01,57,85,1,0.0118
2021-02-01,64,85,1,0.0118
2021-02-01,65,85,1,0.0118
2021-03-01,0,100,100,1.0
2021-03-01,1,100,2,0.02
2021-03-01,2,100,1,0.01
2021-03-01,9,100,1,0.01
2021-03-01,17,100,1,0.01
2021-03-01,20,100,1,0.01
2021-03-01,23,100,2,0.02
2021-03-01,24,100,1,0.01
2021-03-01,26,100,2,0.02
2021-03-01,32,100,1,0.01
2021-03-01,35,100,1,0.01
2021-03-01,37,100,1,0.01
2021-03-01,38,100,1,0.01
2021-03-01,40,100,2,0.02
2021-03-01,42,100,2,0.02
2021-03-01,49,100,1,0.01
2021-03-01,51,100,2,0.02
2021-03-01,57,100,1,0.01
2021-03-01,58,100,1,0.01
2021-03-01,59,100,1,0.01
2021-03-01,60,100,1,0.01
2021-03-01,63,100,1,0.01
2021-04-01,0,106,106,1.0
2021-04-01,1,106,3,0.0283
2021-04-01,13,106,1,0.0094
2021-04-01,15,106,1,0.0094
2021-04-01,20,106,1,0.0094
2021-04-01,22,106,1,0.0094
2021-04-01,26,106,1,0.0094
2021-04-01,27,106,2,0.0189
2021-04-01,30,106,1,0.0094
2021-04-01,35,106,1,0.0094
2021-04-01,37,106,2,0.0189
2021-04-01,38,106,1,0.0094
2021-04-01,41,106,1,0.0094
2021-04-01,47,106,2,0.0189
2021-04-01,48,106,1,0.0094
2021-04-01,53,106,1,0.0094
2021-04-01,54,106,1,0.0094
2021-04-01,58,106,3,0.0283
2021-04-01,59,106,1,0.0094
2021-04-01,63,106,1,0.0094
2021-05-01,0,105,105,1.0
2021-05-01,1,105,3,0.0286
2021-05-01,9,105,2,0.019
2021-05-01,17,105,1,0.0095
2021-05-01,18,105,1,0.0095
2021-05-01,21,105,1,0.0095
2021-05-01,26,105,1,0.0095
2021-05-01,27,105,2,0.019
2021-05-01,30,105,1,0.0095
2021-05-01,31,105,1,0.0095
2021-05-01,32,105,1,0.0095
2021-05-01,37,105,1,0.0095
2021-05-01,38,105,3,0.0286
2021-05-01,43,105,2,0.019
2021-05-01,44,105,2,0.019
2021-05-01,46,105,1,0.0095
2021-05-01,52,105,1,0.0095
2021-05-01,55,105,1,0.0095
2021-05-01,56,105,1,0.0095
2021-05-01,63,105,1,0.0095
2021-06-01,0,103,103,1.0
2021-06-01,1,103,5,0.0485
2021-06-01,8,103,2,0.0194
2021-06-01,9,103,2,0.0194
2021-06-01,13,103,1,0.0097
2021-06-01,14,103,1,0.0097
2021-06-01,15,103,1,0.0097
2021-06-01,16,103,1,0.0097
2021-06-01,17,103,1,0.0097
2021-06-01,18,103,2,0.0194
2021-06-01,21,103,1,0.0097
2021-06-01,28,103,1,0.0097
2021-06-01,32,103,1,0.0097
2021-06-01,35,103,1,0.0097
2021-06-01,42,103,1,0.0097
2021-06-01,46,103,1,0.0097
2021-06-01,49,103,1,0.0097
2021-06-01,57,103,1,0.0097
2021-06-01,61,103,1,0.0097
2021-07-01,0,118,118,1.0
2021-07-01,1,118,5,0.0424
2021-07-01,13,118,1,0.0085
2021-07-01,15,118,1,0.0085
2021-07-01,16,118,3,0.0254
2021-07-01,17,118,1,0.0085
2021-07-01,25,118,1,0.0085
2021-07-01,27,118,1,0.0085
2021-07-01,28,118,1,0.0085
2021-07-01,29,118,1,0.0085
2021-07-01,36,118,1,0.0085
2021-07-01,42,118,1,0.0085
2021-07-01,43,118,1,0.0085
2021-07-01,44,118,1,0.0085
2021-07-01,47,118,1,0.0085
2021-07-01,48,118,1,0.0085
2021-07-01,49,118,3,0.0254
2021-07-01,50,118,1,0.0085
2021-08-01,0,134,134,1.0
2021-08-01,1,134,4,0.0299
2021-08-01,2,134,1,0.0075
2021-08-01,8,134,1,0.0075
2021-08-01,10,134,1,0.0075
2021-08-01,12,134,1,0.0075
2021-08-01,18,134,2,0.0149
2021-08-01,19,134,1,0.0075
2021-08-01,22,134,1,0.0075
2021-08-01,26,134,1,0.0075
2021-08-01,27,134,1,0.0075
2021-08-01,30,134,1,0.0075
2021-08-01,33,134,1,0.0075
2021-08-01,36,134,1,0.0075
2021-08-01,37,134,1,0.0075
2021-08-01,40,134,1,0.0075
2021-08-01,44,134,1,0.0075
2021-08-01,45,134,2,0.0149
2021-08-01,49,134,1,0.0075
2021-08-01,52,134,1,0.0075
2021-08-01,53,134,1,0.0075
2021-08-01,54,134,1,0.0075
2021-08-01,55,134,1,0.0075
2021-08-01,58,134,2,0.0149
2021-08-01,60,134,1,0.0075
2021-09-01,0,139,139,1.0
2021-09-01,1,139,3,0.0216
2021-09-01,3,139,2,0.0144
2021-09-01,7,139,1,0.0072
2021-09-01,15,139,1,0.0072
2021-09-01,16,139,1,0.0072
2021-09-01,18,139,1,0.0072
2021-09-01,21,139,1,0.0072
2021-09-01,23,139,1,0.0072
2021-09-01,27,139,1,0.0072
2021-09-01,28,139,1,0.0072
2021-09-01,29,139,1,0.0072
2021-09-01,32,139,1,0.0072
2021-09-01,34,139,1,0.0072
2021-09-01,37,139,1,0.0072
2021-09-01,42,139,2,0.0144
2021-09-01,44,139,1,0.0072
2021-09-01,49,139,1,0.0072
2021-09-01,52,139,1,0.0072
2021-09-01,53,139,2,0.0144
2021-09-01,55,139,1,0.0072
2021-09-01,56,139,1,0.0072
2021-09-01,57,139,1,0.0072
2021-09-01,59,139,2,0.0144
2021-10-01,0,145,145,1.0
2021-10-01,1,145,2,0.0138
2021-10-01,6,145,1,0.0069
2021-10-01,7,145,1,0.0069
2021-10-01,12,145,1,0.0069
2021-10-01,15,145,2,0.0138
2021-10-01,18,145,1,0.0069
2021-10-01,19,145,1,0.0069
2021-10-01,23,145,2,0.0138
2021-10-01,24,145,2,0.0138
2021-10-01,25,145,1,0.0069
2021-10-01,27,145,1,0.0069
2021-10-01,33,145,2,0.0138
2021-10-01,34,145,1,0.0069
2021-10-01,35,145,1,0.0069
2021-10-01,38,145,2,0.0138
2021-10-01,39,145,1,0.0069
2021-10-01,40,145,2,0.0138
2021-10-01,41,145,1,0.0069
2021-10-01,43,145,1,0.0069
2021-10-01,44,145,1,0.0069
2021-10-01,46,145,1,0.0069
2021-10-01,47,145,1,0.0069
2021-10-01,48,145,1,0.0069
2021-10-01,49,145,1,0.0069
2021-10-01,50,145,1,0.0069
2021-10-01,51,145,1,0.0069
2021-10-01,55,145,2,0.0138
2021-10-01,57,145,1,0.0069
2021-11-01,0,129,129,1.0
2021-11-01,1,129,6,0.0465
2021-11-01,3,129,1,0.0078
2021-11-01,5,129,1,0.0078
2021-11-01,6,129,1,0.0078
2021-11-01,9,129,1,0.0078
2021-11-01,11,129,1,0.0078
2021-11-01,13,129,2,0.0155
2021-11-01,14,129,1,0.0078
2021-11-01,17,129,1,0.0078
2021-11-01,20,129,1,0.0078
2021-11-01,21,129,1,0.0078
2021-11-01,23,129,1,0.0078
2021-11-01,25,129,1,0.0078
2021-11-01,27,129,1,0.0078
2021-11-01,33,129,2,0.0155
2021-11-01,34,129,1,0.0078
2021-11-01,36,129,3,0.0233
2021-11-01,38,129,1,0.0078
2021-11-01,42,129,1,0.0078
2021-11-01,44,129,1,0.0078
2021-11-01,45,129,1,0.0078
2021-11-01,46,129,1,0.0078
2021-11-01,49,129,1,0.0078
2021-11-01,53,129,1,0.0078
2021-11-01,57,129,1,0.0078
2021-12-01,0,143,143,1.0
2021-12-01,1,143,2,0.014
2021-12-01,3,143,1,0.007
2021-12-01,4,143,1,0.007
2021-12-01,5,143,1,0.007
2021-12-01,7,143,1,0.007
2021-12-01,15,143,2,0.014
2021-12-01,18,143,1,0.007
2021-12-01,19,143,1,0.007
2021-12-01,23,143,3,0.021
2021-12-01,24,143,4,0.028
2021-12-01,26,143,1,0.007
2021-12-01,27,143,2,0.014
2021-12-01,29,143,1,0.007
2021-12-01,30,143,1,0.007
2021-12-01,32,143,2,0.014
2021-12-01,38,143,1,0.007
2021-12-01,45,143,2,0.014
2021-12-01,47,143,1,0.007
2021-12-01,48,143,1,0.007
2021-12-01,51,143,2,0.014
2021-12-01,55,143,2,0.014
2021-12-01,56,143,1,0.007
2022-01-01,0,142,142,1.0
2022-01-01,1,142,7,0.0493
2022-01-01,2,142,2,0.0141
2022-01-01,5,142,2,0.0141
2022-01-01,10,142,1,0.007
2022-01-01,12,142,1,0.007
2022-01-01,13,142,1,0.007
2022-01-01,15,142,1,0.007
2022-01-01,18,142,3,0.0211
2022-01-01,21,142,1,0.007
2022-01-01,23,142,1,0.007
2022-01-01,24,142,1,0.007
2022-01-01,26,142,1,0.007
2022-01-01,27,142,1,0.007
2022-01-01,28,142,1,0.007
2022-01-01,29,142,1,0.007
2022-01-01,30,142,1,0.007
2022-01-01,36,142,1,0.007
2022-01-01,41,142,1,0.007
2022-01-01,42,142,1,0.007
2022-01-01,43,142,1,0.007
2022-01-01,45,142,1,0.007
2022-01-01,46,142,1,0.007
2022-01-01,49,142,1,0.007
2022-01-01,50,142,1,0.007
2022-01-01,55,142,1,0.007
2022-02-01,0,140,140,1.0
2022-02-01,1,140,5,0.0357
2022-02-01,6,140,1,0.0071
2022-02-01,7,140,1,0.0071
2022-02-01,9,140,2,0.0143
2022-02-01,10,140,1,0.0071
2022-02-01,13,140,2,0.0143
2022-02-01,14,140,3,0.0214
2022-02-01,17,140,1,0.0071
2022-02-01,18,140,1,0.0071
2022-02-01,22,140,1,0.0071
2022-02-01,24,140,1,0.0071
2022-02-01,26,140,2,0.0143
2022-02-01,29,140,1,0.0071
2022-02-01,31,140,1,0.0071
2022-02-01,34,140,1,0.0071
2022-02-01,38,140,1,0.0071
2022-02-01,39,140,1,0.0071
2022-02-01,40,140,1,0.0071
2022-02-01,41,140,1,0.0071
2022-02-01,43,140,1,0.0071
2022-02-01,48,140,3,0.0214
2022-02-01,50,140,2,0.0143
2022-02-01,51,140,1,0.0071
2022-02-01,54,140,1,0.0071
2022-03-01,0,181,181,1.0
2022-03-01,1,181,3,0.0166
2022-03-01,2,181,3,0.0166
2022-03-01,4,181,1,0.0055
2022-03-01,6,181,1,0.0055
2022-03-01,7,181,1,0.0055
2022-03-01,10,181,2,0.011
2022-03-01,13,181,1,0.0055
2022-03-01,14,181,1,0.0055
2022-03-01,19,181,1,0.0055
2022-03-01,22,181,1,0.0055
2022-03-01,24,181,1,0.0055
2022-03-01,25,181,1,0.0055
2022-03-01,26,181,3,0.0166
2022-03-01,27,181,1,0.0055
2022-03-01,31,181,1,0.0055
2022-03-01,33,181,1,0.0055
2022-03-01,35,181,1,0.0055
2022-03-01,37,181,2,0.011
2022-03-01,40,181,1,0.0055
2022-03-01,41,181,1,0.0055
2022-03-01,46,181,1,0.0055
2022-03-01,47,181,1,0.0055
2022-03-01,48,181,2,0.011
2022-03-01,49,181,2,0.011
2022-03-01,50,181,1,0.0055
2022-03-01,53,181,2,0.011
2022-04-01,0,174,174,1.0
2022-04-01,1,174,4,0.023
2022-04-01,4,174,1,0.0057
2022-04-01,6,174,1,0.0057
2022-04-01,9,174,2,0.0115
2022-04-01,11,174,2,0.0115
2022-04-01,12,174,1,0.0057
2022-04-01,14,174,1,0.0057
2022-04-01,17,174,1,0.0057
2022-04-01,19,174,1,0.0057
2022-04-01,20,174,4,0.023
2022-04-01,23,174,1,0.0057
2022-04-01,25,174,1,0.0057
2022-04-01,27,174,3,0.0172
2022-04-01,30,174,1,0.0057
2022-04-01,32,174,3,0.0172
2022-04-01,34,174,1,0.0057
2022-04-01,36,174,1,0.0057
2022-04-01,37,174,4,0.023
2022-04-01,39,174,1,0.0057
2022-04-01,40,174,2,0.0115
2022-04-01,41,174,2,0.0115
2022-04-01,42,174,2,0.0115
2022-04-01,45,174,2,0.0115
2022-04-01,47,174,1,0.0057
2022-04-01,48,174,3,0.0172
2022-04-01,49,174,1,0.0057
2022-04-01,51,174,1,0.0057
2022-04-01,52,174,2,0.0115
2022-05-01,0,152,152,1.0
2022-05-01,1,152,4,0.0263
2022-05-01,5,152,1,0.0066
2022-05-01,6,152,1,0.0066
2022-05-01,9,152,1,0.0066
2022-05-01,12,152,1,0.0066
2022-05-01,13,152,2,0.0132
2022-05-01,14,152,1,0.0066
2022-05-01,19,152,2,0.0132
2022-05-01,20,152,1,0.0066
2022-05-01,25,152,1,0.0066
2022-05-01,26,152,3,0.0197
2022-05-01,27,152,1,0.0066
2022-05-01,28,152,2,0.0132
2022-05-01,29,152,1,0.0066
2022-05-01,30,152,1,0.0066
2022-05-01,32,152,2,0.0132
2022-05-01,36,152,1,0.0066
2022-05-01,37,152,2,0.0132
2022-05-01,39,152,2,0.0132
2022-05-01,42,152,1,0.0066
2022-05-01,44,152,2,0.0132
2022-05-01,45,152,2,0.0132
2022-05-01,46,152,3,0.0197
2022-06-01,0,190,190,1.0
2022-06-01,1,190,3,0.0158
2022-06-01,2,190,1,0.0053
2022-06-01,4,190,2,0.0105
2022-06-01,10,190,1,0.0053
2022-06-01,12,190,1,0.0053
2022-06-01,14,190,1,0.0053
2022-06-01,17,190,3,0.0158
2022-06-01,18,190,2,0.0105
2022-06-01,19,190,2,0.0105
2022-06-01,21,190,1,0.0053
2022-06-01,24,190,3,0.0158
2022-06-01,26,190,1,0.0053
2022-06-01,28,190,1,0.0053
2022-06-01,29,190,2,0.0105
2022-06-01,30,190,2,0.0105
2022-06-01,31,190,5,0.0263
2022-06-01,32,190,1,0.0053
2022-06-01,33,190,1,0.0053
2022-06-01,34,190,1,0.0053
2022-06-01,36,190,3,0.0158
2022-06-01,38,190,1,0.0053
2022-06-01,39,190,1,0.0053
2022-06-01,40,190,1,0.0053
2022-06-01,45,190,3,0.0158
2022-06-01,47,190,1,0.0053
2022-06-01,49,190,1,0.0053
2022-06-01,50,190,1,0.0053
2022-07-01,0,189,189,1.0
2022-07-01,1,189,5,0.0265
2022-07-01,7,189,1,0.0053
2022-07-01,10,189,1,0.0053
2022-07-01,14,189,1,0.0053
2022-07-01,15,189,1,0.0053
2022-07-01,17,189,1,0.0053
2022-07-01,19,189,1,0.0053
2022-07-01,21,189,2,0.0106
2022-07-01,24,189,2,0.0106
2022-07-01,25,189,2,0.0106
2022-07-01,26,189,2,0.0106
2022-07-01,27,189,1,0.0053
2022-07-01,28,189,1,0.0053
2022-07-01,31,189,1,0.0053
2022-07-01,32,189,1,0.0053
2022-07-01,34,189,1,0.0053
2022-07-01,36,189,1,0.0053
2022-07-01,38,189,1,0.0053
2022-07-01,39,189,1,0.0053
2022-07-01,41,189,1,0.0053
2022-07-01,42,189,1,0.0053
2022-07-01,43,189,1,0.0053
2022-07-01,49,189,2,0.0106
2022-08-01,0,205,205,1.0
2022-08-01,1,205,6,0.0293
2022-08-01,2,205,1,0.0049
2022-08-01,5,205,1,0.0049
2022-08-01,6,205,1,0.0049
2022-08-01,9,205,3,0.0146
2022-08-01,10,205,1,0.0049
2022-08-01,14,205,1,0.0049
2022-08-01,15,205,1,0.0049
2022-08-01,20,205,3,0.0146
2022-08-01,22,205,1,0.0049
2022-08-01,24,205,2,0.0098
2022-08-01,25,205,1,0.0049
2022-08-01,27,205,2,0.0098
2022-08-01,31,205,2,0.0098
2022-08-01,32,205,1,0.0049
2022-08-01,33,205,1,0.0049
2022-08-01,34,205,1,0.0049
2022-08-01,35,205,2,0.0098
2022-08-01,36,205,3,0.0146
2022-08-01,39,205,1,0.0049
2022-08-01,40,205,2,0.0098
2022-08-01,42,205,1,0.0049
2022-08-01,43,205,2,0.0098
2022-08-01,44,205,1,0.0049
2022-08-01,47,205,1,0.0049
2022-08-01,48,205,1,0.0049
2022-09-01,0,191,191,1.0
2022-09-01,1,191,5,0.0262
2022-09-01,2,191,1,0.0052
2022-09-01,3,191,2,0.0105
2022-09-01,4,191,3,0.0157
2022-09-01,5,191,2,0.0105
2022-09-01,7,191,2,0.0105
2022-09-01,8,191,2,0.0105
2022-09-01,11,191,1,0.0052
2022-09-01,13,191,1,0.0052
2022-09-01,14,191,1,0.0052
2022-09-01,22,191,1,0.0052
2022-09-01,24,191,1,0.0052
2022-09-01,25,191,1,0.0052
2022-09-01,27,191,2,0.0105
2022-09-01,30,191,2,0.0105
2022-09-01,31,191,1,0.0052
2022-09-01,34,191,1,0.0052
2022-09-01,36,191,3,0.0157
2022-09-01,37,191,1,0.0052
2022-09-01,38,191,1,0.0052
2022-09-01,40,191,1,0.0052
2022-09-01,43,191,2,0.0105
2022-09-01,45,191,2,0.0105
2022-09-01,46,191,1,0.0052
2022-10-01,0,219,219,1.0
2022-10-01,1,219,4,0.0183
2022-10-01,3,219,1,0.0046
2022-10-01,4,219,2,0.0091
2022-10-01,7,219,4,0.0183
2022-10-01,8,219,1,0.0046
2022-10-01,10,219,4,0.0183
2022-10-01,11,219,1,0.0046
2022-10-01,15,219,1,0.0046
2022-10-01,16,219,1,0.0046
2022-10-01,17,219,2,0.0091
2022-10-01,18,219,2,0.0091
2022-10-01,19,219,2,0.0091
2022-10-01,20,219,4,0.0183
2022-10-01,21,219,4,0.0183
2022-10-01,22,219,2,0.0091
2022-10-01,23,219,1,0.0046
2022-10-01,26,219,1,0.0046
2022-10-01,27,219,1,0.0046
2022-10-01,28,219,2,0.0091
2022-10-01,32,219,1,0.0046
2022-10-01,34,219,1,0.0046
